City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Katsuura,JP,35.1333,140.3,77.58,93,100,12.86,overcast clouds
165,Omboue,GA,-1.5746,9.2618,77.72,71,81,11.3,broken clouds
166,Pevek,RU,69.7008,170.3133,31.78,99,100,8.66,overcast clouds
167,Ostrovnoy,RU,68.0531,39.5131,56.55,76,52,4.85,broken clouds
168,Noumea,NC,-22.2763,166.4572,75.99,99,14,9.53,few clouds
169,Golpayegan,IR,33.4537,50.2884,93.99,9,0,4.74,clear sky
170,Yola,NG,9.2,12.4833,85.48,63,84,5.41,light rain
171,Lahaina,US,20.8783,-156.6825,73.4,76,44,8.77,scattered clouds
172,Chokurdakh,RU,70.6333,147.9167,37.87,54,100,8.48,overcast clouds
173,Hermanus,ZA,-34.4187,19.2345,58.8,71,14,1.79,few clouds
174,Kudahuvadhoo,MV,2.6708,72.8944,80.38,73,100,8.68,light rain
175,Mattru,SL,7.6244,-11.8332,77.34,80,99,6.91,overcast clouds
176,Pleshanovo,RU,52.8333,53.4833,72.34,56,96,4.09,overcast clouds
177,Saskylakh,RU,71.9167,114.0833,51.96,66,98,15.21,overcast clouds
178,Nishihara,JP,26.1842,127.7558,83.48,94,20,9.22,few clouds
179,Taoudenni,ML,22.6783,-3.9836,107.83,17,13,8.72,few clouds
180,Todos Santos,MX,23.45,-110.2167,78.66,71,4,6.2,clear sky
181,Novyy Urgal,RU,51.0736,132.5642,59.79,93,99,1.12,overcast clouds
182,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,49,20,21.85,few clouds
183,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,71,21,6.73,few clouds
184,Tasiilaq,GL,65.6145,-37.6368,39.36,71,97,4.18,overcast clouds
185,Namatanai,PG,-3.6667,152.4333,79.14,80,55,6.15,broken clouds
186,Provideniya,RU,64.3833,-173.3,39.76,77,99,9.93,overcast clouds
187,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.79,100,100,4.47,overcast clouds
188,Richards Bay,ZA,-28.783,32.0377,66.58,85,5,6.38,clear sky
189,Faanui,PF,-16.4833,-151.75,76.62,75,10,13.42,clear sky
190,Usinsk,RU,65.9939,57.5281,62.67,48,100,15.88,overcast clouds
191,Aldan,RU,58.6031,125.3894,57.43,89,7,3.38,clear sky
192,Havoysund,NO,70.9963,24.6622,62.83,86,100,8.5,light rain
193,Saint-Augustin,CA,51.226,-58.6502,75.45,43,36,14.52,scattered clouds
194,Moron,AR,-34.6534,-58.6198,65.01,54,100,6.76,overcast clouds
195,Banjar,ID,-8.19,114.9675,73.83,88,55,6.15,broken clouds
196,Concepcion Del Uruguay,AR,-32.4825,-58.2372,66.25,80,97,4.0,overcast clouds
197,Te Anau,NZ,-45.4167,167.7167,33.64,94,43,1.95,scattered clouds
198,Arnstadt,DE,50.8333,10.95,85.32,39,0,13.8,clear sky
199,Okhotsk,RU,59.3833,143.3,53.24,93,92,2.08,overcast clouds
200,Beloha,MG,-25.1667,45.05,67.68,71,11,7.83,few clouds
201,Bilma,NE,18.6853,12.9164,104.94,16,24,7.29,few clouds
202,Fasa,IR,28.9383,53.6482,99.64,17,40,16.11,scattered clouds
203,Broken Hill,AU,-31.95,141.4333,46.83,88,64,9.04,broken clouds
